2018rank,City,State[c],2018estimate,2010Census,Change,2016 land area,2016 population density,Location,City Link
35,Mesa, Arizona,"508,958","439,041",+15.92%,137.9 sq mi,"3,514/sq mi",33°24′07′′N 111°43′03′′W,"https://en.wikipedia.org/wiki/Mesa,_Arizona"
36,Sacramento, California,"508,529","466,488",+9.01%,97.9 sq mi,"5,059/sq mi",38°34′00′′N 121°28′07′′W,"https://en.wikipedia.org/wiki/Sacramento,_California"
37,Atlanta, Georgia,"498,044","420,003",+18.58%,133.5 sq mi,"3,539/sq mi",33°45′46′′N 84°25′22′′W,https://en.wikipedia.org/wiki/Atlanta
38,Kansas City, Missouri,"491,918","459,787",+6.99%,315.0 sq mi,"1,528/sq mi",39°07′30′′N 94°33′04′′W,"https://en.wikipedia.org/wiki/Kansas_City,_Missouri"
39,Colorado Springs, Colorado,"472,688","416,427",+13.51%,195.6 sq mi,"2,378/sq mi",38°52′02′′N 104°45′39′′W,"https://en.wikipedia.org/wiki/Colorado_Springs,_Colorado"
40,Miami, Florida,"470,914","399,457",+17.89%,36.0 sq mi,"12,599/sq mi",25°46′31′′N 80°12′31′′W,https://en.wikipedia.org/wiki/Miami
41,Raleigh, North Carolina,"469,298","403,892",+16.19%,145.1 sq mi,"3,163/sq mi",35°49′50′′N 78°38′30′′W,"https://en.wikipedia.org/wiki/Raleigh,_North_Carolina"
42,Omaha, Nebraska,"468,262","408,958",+14.50%,133.2 sq mi,"3,356/sq mi",41°15′52′′N 96°02′42′′W,"https://en.wikipedia.org/wiki/Omaha,_Nebraska"
43,Long Beach, California,"467,354","462,257",+1.10%,50.3 sq mi,"9,347/sq mi",33°48′33′′N 118°09′19′′W,"https://en.wikipedia.org/wiki/Long_Beach,_California"
44,Virginia Beach, Virginia,"450,189","437,994",+2.78%,244.7 sq mi,"1,850/sq mi",36°46′48′′N 76°01′31′′W,"https://en.wikipedia.org/wiki/Virginia_Beach,_Virginia"
45,Oakland, California,"429,082","390,724",+9.82%,55.9 sq mi,"7,514/sq mi",37°46′11′′N 122°13′33′′W,"https://en.wikipedia.org/wiki/Oakland,_California"
46,Minneapolis, Minnesota,"425,403","382,578",+11.19%,54.0 sq mi,"7,660/sq mi",44°57′48′′N 93°16′06′′W,https://en.wikipedia.org/wiki/Minneapolis
47,Tulsa, Oklahoma,"400,669","391,906",+2.24%,196.8 sq mi,"2,048/sq mi",36°07′40′′N 95°54′08′′W,"https://en.wikipedia.org/wiki/Tulsa,_Oklahoma"
48,Arlington, Texas,"398,112","365,438",+8.94%,95.8 sq mi,"4,100/sq mi",32°42′03′′N 97°07′29′′W,"https://en.wikipedia.org/wiki/Arlington,_Texas"
49,Tampa, Florida,"392,890","335,709",+17.03%,113.4 sq mi,"3,326/sq mi",27°58′12′′N 82°28′47′′W,"https://en.wikipedia.org/wiki/Tampa,_Florida"
50,New Orleans, Louisiana,"391,006","343,829",+13.72%,169.4 sq mi,"2,311/sq mi",30°03′12′′N 89°56′04′′W,https://en.wikipedia.org/wiki/New_Orleans
51,Wichita, Kansas,"389,255","382,368",+1.80%,160.4 sq mi,"2,431/sq mi",37°41′27′′N 97°20′45′′W,"https://en.wikipedia.org/wiki/Wichita,_Kansas"
52,Cleveland, Ohio,"383,793","396,815",−3.28%,77.7 sq mi,"4,965/sq mi",41°28′43′′N 81°40′46′′W,https://en.wikipedia.org/wiki/Cleveland
53,Bakersfield, California,"383,579","347,483",+10.39%,148.8 sq mi,"2,529/sq mi",35°19′16′′N 119°01′06′′W,"https://en.wikipedia.org/wiki/Bakersfield,_California"
54,Aurora, Colorado,"374,114","325,078",+15.08%,153.5 sq mi,"2,356/sq mi",39°41′17′′N 104°41′23′′W,"https://en.wikipedia.org/wiki/Aurora,_Colorado"
55,Anaheim, California,"352,005","336,265",+4.68%,50.0 sq mi,"7,021/sq mi",33°51′20′′N 117°45′36′′W,"https://en.wikipedia.org/wiki/Anaheim,_California"
56,Honolulu, Hawaii,"347,397","337,256",+3.01%,60.5 sq mi,"5,815/sq mi",21°19′27′′N 157°50′51′′W,https://en.wikipedia.org/wiki/Honolulu
57,Santa Ana, California,"332,725","324,528",+2.53%,27.1 sq mi,"12,333/sq mi",33°44′11′′N 117°52′59′′W,"https://en.wikipedia.org/wiki/Santa_Ana,_California"
58,Riverside, California,"330,063","303,871",+8.62%,81.2 sq mi,"3,999/sq mi",33°56′17′′N 117°23′36′′W,"https://en.wikipedia.org/wiki/Riverside,_California"
59,Corpus Christi, Texas,"326,554","305,215",+6.99%,174.6 sq mi,"1,866/sq mi",27°45′15′′N 97°10′24′′W,"https://en.wikipedia.org/wiki/Corpus_Christi,_Texas"
60,Lexington, Kentucky,"323,780","295,803",+9.46%,283.6 sq mi,"1,123/sq mi",38°02′27′′N 84°27′30′′W,"https://en.wikipedia.org/wiki/Lexington,_Kentucky"
61,Stockton, California,"311,178","291,707",+6.67%,61.7 sq mi,"4,977/sq mi",37°58′35′′N 121°18′48′′W,"https://en.wikipedia.org/wiki/Stockton,_California"
62,Henderson, Nevada,"310,390","257,729",+20.43%,104.7 sq mi,"2,798/sq mi",36°00′35′′N 115°02′09′′W,"https://en.wikipedia.org/wiki/Henderson,_Nevada"
63,Saint Paul, Minnesota,"307,695","285,068",+7.94%,52.0 sq mi,"5,815/sq mi",44°56′56′′N 93°06′15′′W,"https://en.wikipedia.org/wiki/Saint_Paul,_Minnesota"
64,St. Louis, Missouri,"302,838","319,294",−5.15%,62.0 sq mi,"5,023/sq mi",38°38′09′′N 90°14′41′′W,https://en.wikipedia.org/wiki/St._Louis
65,Cincinnati, Ohio,"302,605","296,943",+1.91%,77.4 sq mi,"3,860/sq mi",39°08′25′′N 84°30′21′′W,https://en.wikipedia.org/wiki/Cincinnati
66,Pittsburgh, Pennsylvania,"301,048","305,704",−1.52%,55.4 sq mi,"5,481/sq mi",40°26′23′′N 79°58′36′′W,https://en.wikipedia.org/wiki/Pittsburgh
67,Greensboro, North Carolina,"294,722","269,666",+9.29%,128.3 sq mi,"2,237/sq mi",36°05′42′′N 79°49′37′′W,"https://en.wikipedia.org/wiki/Greensboro,_North_Carolina"
68,Anchorage, Alaska,"291,538","291,826",−0.10%,"1,706.6 sq mi",175/sq mi,61°10′27′′N 149°17′03′′W,"https://en.wikipedia.org/wiki/Anchorage,_Alaska"
69,Plano, Texas,"288,061","259,841",+10.86%,71.7 sq mi,"3,990/sq mi",33°03′03′′N 96°44′52′′W,"https://en.wikipedia.org/wiki/Plano,_Texas"
70,Lincoln, Nebraska,"287,401","258,379",+11.23%,92.1 sq mi,"3,044/sq mi",40°48′38′′N 96°40′49′′W,"https://en.wikipedia.org/wiki/Lincoln,_Nebraska"
71,Orlando, Florida,"285,713","238,300",+19.90%,105.2 sq mi,"2,635/sq mi",28°25′00′′N 81°16′25′′W,"https://en.wikipedia.org/wiki/Orlando,_Florida"
72,Irvine, California,"282,572","212,375",+33.05%,65.6 sq mi,"4,057/sq mi",33°40′42′′N 117°46′17′′W,"https://en.wikipedia.org/wiki/Irvine,_California"
73,Newark, New Jersey,"282,090","277,140",+1.79%,24.1 sq mi,"11,691/sq mi",40°43′27′′N 74°10′21′′W,"https://en.wikipedia.org/wiki/Newark,_New_Jersey"
74,Toledo, Ohio,"274,975","287,208",−4.26%,80.7 sq mi,"3,451/sq mi",41°39′51′′N 83°34′55′′W,"https://en.wikipedia.org/wiki/Toledo,_Ohio"
75,Durham, North Carolina,"274,291","228,330",+20.13%,109.8 sq mi,"2,395/sq mi",35°58′52′′N 78°54′10′′W,"https://en.wikipedia.org/wiki/Durham,_North_Carolina"
76,Chula Vista, California,"271,651","243,916",+11.37%,49.6 sq mi,"5,387/sq mi",32°37′40′′N 117°00′55′′W,"https://en.wikipedia.org/wiki/Chula_Vista,_California"
77,Fort Wayne, Indiana,"267,633","253,691",+5.50%,110.6 sq mi,"2,391/sq mi",41°05′18′′N 85°08′38′′W,"https://en.wikipedia.org/wiki/Fort_Wayne,_Indiana"
78,Jersey City, New Jersey,"265,549","247,597",+7.25%,14.8 sq mi,"17,848/sq mi",40°42′41′′N 74°03′53′′W,"https://en.wikipedia.org/wiki/Jersey_City,_New_Jersey"
79,St. Petersburg, Florida,"265,098","244,769",+8.31%,61.8 sq mi,"4,223/sq mi",27°45′43′′N 82°38′39′′W,"https://en.wikipedia.org/wiki/St._Petersburg,_Florida"
80,Laredo, Texas,"261,639","236,091",+10.82%,101.1 sq mi,"2,544/sq mi",27°33′37′′N 99°29′21′′W,"https://en.wikipedia.org/wiki/Laredo,_Texas"
