TEXAS,"['National', 'Express', 'Washington', 'OpEd', 'Politics', 'Business', '', 'Editorial', 'Investigative', 'Podcasts']"
CALIFORNIA,"['National', 'Business', 'OpEd', 'Express', '', 'Politics', 'Sports', 'Dining', 'Climate', 'Science']"
NEW YORK CITY,"['Metro', 'Weekend', 'OpEd', 'Metropolitan', 'Editorial', 'Culture', 'Letters', 'Obits', 'Business', 'Express']"
FLORIDA,"['National', 'Express', '', 'OpEd', 'Editorial', 'Politics', 'Sports', 'Travel', 'Foreign', 'Investigative']"
ARIZONA,"['National', 'Express', 'Travel', 'Politics', 'U.S.', 'Washington', '', 'Climate', 'Investigative', 'OpEd']"
OHIO,"['OpEd', 'Politics', 'National', '', 'Express', 'Science', 'Sports']"
MICHIGAN,"['Business', 'National', 'OpEd', 'Washington', '', 'Express', 'Obits', 'Podcasts', 'Politics', 'Sports']"
